timestamp,value
1772878105.4574385,0
1772878105.4673333,0
1772878105.4775503,0
1772878105.4873679,0
1772878105.4996905,0
1772878105.5075624,0
1772878105.5175374,0
1772878105.5274289,0
1772878105.537888,0
1772878105.5476482,0
1772878105.557435,0
1772878105.5675025,0
1772878105.5786963,0
1772878105.5910897,0
1772878105.5973284,0
1772878105.6074991,0
1772878105.617672,0
1772878105.627479,0
1772878105.6376054,0
1772878105.6478367,0
1772878105.6575806,0
1772878105.6677907,0
1772878105.6780868,0
1772878105.687295,0
1772878105.6985426,0
1772878105.707966,0
1772878105.7174354,0
1772878105.7279122,0
1772878105.737745,0
1772878105.7475588,0
1772878105.7573452,0
1772878105.7676492,0
1772878105.7772846,0
1772878105.7876437,0
1772878105.7977247,0
1772878105.8075798,0
1772878105.8175206,0
1772878105.827712,0
1772878105.837574,0
1772878105.8475006,0
1772878105.8575158,0
1772878105.8673005,0
1772878105.877573,0
1772878105.887415,0
1772878105.8980188,0
1772878105.9079475,0
1772878105.9174676,0
1772878105.9273303,0
1772878105.9373252,0
1772878105.947494,0
1772878105.9573548,0
1772878105.9679956,0
1772878105.977498,0
1772878105.9883156,0
1772878105.9993925,0
1772878106.0074823,0
1772878106.0172067,0
1772878106.0274851,0
1772878106.0377333,0
1772878106.0475247,0
1772878106.0573564,0
1772878106.0674176,0
1772878106.080426,0
1772878106.087476,0
1772878106.0973246,0
1772878106.1076658,0
1772878106.117412,0
1772878106.127502,0
1772878106.137574,0
1772878106.1475043,0
1772878106.15772,0
1772878106.167547,0
1772878106.1786616,0
1772878106.1874232,0
1772878106.1974714,0
1772878106.207648,0
1772878106.2176902,0
1772878106.2273245,0
1772878106.2374883,0
1772878106.2475882,0
1772878106.2573137,0
1772878106.2673733,0
1772878106.2796652,0
1772878106.287388,0
1772878106.2973747,0
1772878106.3072505,0
1772878106.317444,0
1772878106.3273485,0
1772878106.337747,0
1772878106.3478818,0
1772878106.3577495,0
1772878106.3673918,0
1772878106.3776505,0
1772878106.387487,0
1772878106.3979957,0
1772878106.4076385,0
1772878106.4176273,0
1772878106.428363,0
1772878106.4374728,0
1772878106.4491994,0
1772878106.457594,0
1772878106.46866,0
1772878106.4777167,0
1772878106.487627,0
1772878106.497581,0
1772878106.507505,0
1772878106.5176704,0
1772878106.5274205,0
1772878106.5377555,0
1772878106.5473416,0
1772878106.5576732,0
1772878106.5674453,0
1772878106.5776863,0
1772878106.587602,0
1772878106.597573,0
1772878106.6079144,0
1772878106.6176226,0
1772878106.627807,0
1772878106.6375132,0
1772878106.6473453,0
1772878106.6573653,0
1772878106.6674972,0
1772878106.6773086,0
1772878106.6874933,0
1772878106.6974173,0
1772878106.707236,0
1772878106.7174177,0
1772878106.7271762,0
1772878106.737245,0
1772878106.7472675,0
1772878106.757216,0
1772878106.7671332,0
1772878106.7773917,0
1772878106.7893221,0
1772878106.7972198,0
1772878106.8071983,0
1772878106.820989,0
1772878106.8284943,0
1772878106.8373408,0
1772878106.847437,0
1772878106.85758,0
1772878106.8678055,0
1772878106.8780935,0
1772878106.887478,0
1772878106.8974755,0
1772878106.9074938,0
1772878106.91735,0
1772878106.9305186,0
1772878106.937498,0
1772878106.950507,0
1772878106.9573934,0
1772878106.968144,0
1772878106.9779615,0
1772878106.987826,0
1772878106.9976065,0
1772878107.0076833,0
1772878107.0172782,0
1772878107.0273001,0
1772878107.037742,0
1772878107.049906,0
1772878107.0575254,0
1772878107.0693064,0
1772878107.077469,0
1772878107.0874102,0
1772878107.0975604,0
1772878107.1077862,0
1772878107.1176486,0
1772878107.1282814,0
1772878107.13754,0
1772878107.147598,0
1772878107.1590707,0
1772878107.1676645,0
1772878107.177308,0
1772878107.1874275,0
1772878107.197595,0
1772878107.207299,0
1772878107.2173057,0
1772878107.2276752,0
1772878107.237419,0
1772878107.2476988,0
1772878107.2574608,0
1772878107.267699,0
1772878107.279519,0
1772878107.2877731,0
1772878107.2974718,0
1772878107.3077042,0
1772878107.3176663,0
1772878107.3277729,0
1772878107.3373961,0
1772878107.3476624,0
1772878107.3575134,0
1772878107.3673456,0
1772878107.380757,0
1772878107.3874145,0
1772878107.3974686,0
1772878107.407681,0
1772878107.4174972,0
1772878107.427546,0
1772878107.4372482,0
1772878107.449854,0
1772878107.4576573,0
1772878107.4673474,0
1772878107.4772527,0
1772878107.487434,0
1772878107.4973035,0
1772878107.507701,0
1772878107.5173836,0
1772878107.5274577,0
1772878107.537993,0
1772878107.5495205,0
1772878107.557547,0
1772878107.568382,0
1772878107.5833216,0
1772878107.5879045,0
1772878107.5972555,0
1772878107.6075454,0
1772878107.6174967,0
1772878107.6274934,0
1772878107.6397831,0
1772878107.64885,0
1772878107.6574447,0
1772878107.6693373,0
1772878107.6774216,0
1772878107.6874938,0
1772878107.6974564,0
1772878107.7073092,0
1772878107.7174737,0
1772878107.7276516,0
1772878107.737282,0
1772878107.7504208,0
1772878107.7575533,0
1772878107.7675986,0
1772878107.7774835,0
1772878107.7872334,0
1772878107.7971606,0
1772878107.8075306,0
1772878107.8175037,0
1772878107.827703,0
1772878107.8375971,0
1772878107.8486028,0
1772878107.8577883,0
1772878107.8679004,0
1772878107.8776493,0
1772878107.887363,0
1772878107.8975425,0
1772878107.9083183,0
1772878107.9180837,0
1772878107.927511,0
1772878107.937258,0
1772878107.9475315,0
1772878107.9573064,0
1772878107.9674394,0
1772878107.9799514,0
1772878107.9881487,0
1772878107.999343,0
1772878108.0073109,0
1772878108.0174546,0
1772878108.0310118,0
1772878108.037569,0
1772878108.0481763,0
1772878108.0613286,0
1772878108.0675807,0
1772878108.0773463,0
1772878108.0875053,0
1772878108.0975382,0
1772878108.1073089,0
1772878108.1175692,0
1772878108.1274016,0
1772878108.13887,0
1772878108.1499515,0
1772878108.1591763,0
1772878108.1675098,0
1772878108.1774898,0
1772878108.1874857,0
1772878108.1980233,0
1772878108.2076743,0
1772878108.2173793,0
1772878108.2276034,0
1772878108.2377586,4
1772878108.2476323,13
1772878108.2575989,12
1772878108.2688365,6
1772878108.2774153,4
1772878108.2877927,0
1772878108.2979553,0
1772878108.30741,0
1772878108.3174918,0
1772878108.3274393,0
1772878108.3375962,0
1772878108.3474882,0
1772878108.3583603,0
1772878108.3685133,0
1772878108.377752,0
1772878108.3873436,0
1772878108.3975875,0
1772878108.4076467,0
1772878108.4190955,0
1772878108.4274595,0
1772878108.437407,0
1772878108.4477048,0
1772878108.457519,0
